ISSN	Título	Área de Avaliação	Estrato
00042730	ARQUIVOS BRASILEIROS DE ENDOCRINOLOGIA E METABOLOGIA (IMPRESSO)	CIÊNCIAS AMBIENTAIS	B2
00042749	ARQUIVOS BRASILEIROS DE OFTALMOLOGIA (IMPRESSO)	BIOTECNOLOGIA                                     	A4
00042773	ARQUIVOS CATARINENSES DE MEDICINA (IMPRESSO)	EDUCAÇÃO FÍSICA                                   	B2
00042803	ARQUIVOS DE GASTROENTEROLOGIA (IMPRESSO)	BIOTECNOLOGIA                                     	B2
0004282X	ARQUIVOS DE NEURO-PSIQUIATRIA (IMPRESSO)	BIOTECNOLOGIA                                     	B2
00042927	ARS PHARMACEUTICA	FARMÁCIA                                          	B4
00043591	ARTHRITIS AND RHEUMATISM	MEDICINA III                                      	B3
00043702	ARTIFICIAL INTELLIGENCE	CIÊNCIA DA COMPUTAÇÃO                             	A1
00044822	REVISTA DE LA ASOCIACIÓN GEOLÓGICA ARGENTINA	GEOCIÊNCIAS                                       	B2
00044881	REVISTA DE LA ASOCIACIÓN ODONTOLÓGICA ARGENTINA	SAÚDE COLETIVA                                    	B4
00045276	REVISTA DA APCD - ASSOCIAÇÃO PAULISTA DE CIRUGIÕES DENTISTAS	CIÊNCIAS BIOLÓGICAS II                            	B3
00045411	JOURNAL OF THE ASSOCIATION FOR COMPUTING MACHINERY	CIÊNCIA DA COMPUTAÇÃO                             	A1
00045608	ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS	GEOGRAFIA                                         	A1
00045632	ANNALS OF CLINICAL BIOCHEMISTRY	MEDICINA I                                        	B1
00046256	THE ASTRONOMICAL JOURNAL (NEW YORK, N.Y.)	ASTRONOMIA / FÍSICA                               	A1
00046264	PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN	ASTRONOMIA / FÍSICA                               	A2
00046280	PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC	ASTRONOMIA / FÍSICA                               	A3
00046337	ASTRONOMISCHE NACHRICHTEN (PRINT)	ASTRONOMIA / FÍSICA                               	B1
00046361	ASTRONOMY & ASTROPHYSICS (BERLIN. PRINT)	ASTRONOMIA / FÍSICA                               	A1
0004637X	THE ASTROPHYSICAL JOURNAL	ASTRONOMIA / FÍSICA                               	A1
0004640X	ASTROPHYSICS AND SPACE SCIENCE	ASTRONOMIA / FÍSICA                               	A4
00047856	AUFSCHLUSS (HEIDELBERG)	CIÊNCIAS AMBIENTAIS	C
00048038	THE AUK (WASHINGTON, D.C.)	BIODIVERSIDADE	A1
00048380	AUSTRALASIAN JOURNAL OF DERMATOLOGY (PRINT)	MEDICINA I                                        	A3
00048402	AUSTRALASIAN JOURNAL OF PHILOSOPHY	FILOSOFIA	A1
00048666	THE AUSTRALIAN AND NEW ZEALAND JOURNAL OF OBSTETRICS AND GYNAECOLOGY	MEDICINA II                                       	A4
00048674	AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY (PRINT)	CIÊNCIAS BIOLÓGICAS I                             	A1
0004881X	JOURNAL OF THE AUSTRALIAN CERAMIC SOCIETY	ENGENHARIAS I                                     	A4
00049158	AUSTRALIAN FORESTRY	CIÊNCIAS AGRÁRIAS I                               	A4
00049174	AUSTRALIAN GEMMOLOGIST	GEOCIÊNCIAS                                       	C
00049425	AUSTRALIAN JOURNAL OF CHEMISTRY (PRINT)	MATERIAIS                                         	A4
00049573	AUSTRALIAN JOURNAL OF SOIL RESEARCH	CIÊNCIAS BIOLÓGICAS II                            	A3
00049727	BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY	CIÊNCIA DA COMPUTAÇÃO                             	B1
